
IN256OUT64,IN256OUT64,,,BATCH
4.8e-05,0.682667,256,64,1
4.8e-05,1.36533,256,64,2
4.8e-05,2.73067,256,64,4
4.7e-05,4.18315,256,64,6
5e-05,5.24288,256,64,8
6.7e-05,4.89075,256,64,10
6.7e-05,5.8689,256,64,12
6.6e-05,6.95079,256,64,14
6.8e-05,7.71012,256,64,16
7.3e-05,8.07978,256,64,18
7.5e-05,8.73813,256,64,20
9.5e-05,10.3478,256,64,30
0.000126,10.4025,256,64,40
0.000148,11.0703,256,64,50
0.000163,12.0618,256,64,60
IN256OUT128,IN256OUT128,,,BATCH
4.8e-05,1.36533,256,128,1
4.8e-05,2.73067,256,128,2
5.9e-05,4.44312,256,128,4
6.7e-05,5.8689,256,128,6
6.6e-05,7.94376,256,128,8
7.9e-05,8.2957,256,128,10
8.4e-05,9.36229,256,128,12
9.2e-05,9.97287,256,128,14
0.0001,10.4858,256,128,16
0.000124,9.51329,256,128,18
0.000126,10.4025,256,128,20
0.000162,12.1363,256,128,30
0.000215,12.1927,256,128,40
0.000254,12.9008,256,128,50
0.000292,13.4663,256,128,60
IN256OUT256,IN256OUT256,,,BATCH
4.9e-05,2.67494,256,256,1
5.1e-05,5.14008,256,256,2
6.5e-05,8.06597,256,256,4
8.2e-05,9.59063,256,256,6
9.6e-05,10.9227,256,256,8
0.000127,10.3206,256,256,10
0.000156,10.0825,256,256,12
0.000159,11.5409,256,256,14
0.000171,12.264,256,256,16
0.000197,11.9761,256,256,18
0.000215,12.1927,256,256,20
0.000288,13.6533,256,256,30
0.000371,14.1318,256,256,40
0.000882,7.43039,256,256,50
0.001253,6.27639,256,256,60
IN256OUT512,IN256OUT512,,,BATCH
5.5e-05,4.76625,256,512,1
7.1e-05,7.38434,256,512,2
0.000102,10.2802,256,512,4
0.000148,10.6275,256,512,6
0.000167,12.5578,256,512,8
0.000214,12.2497,256,512,10
0.000234,13.4433,256,512,12
0.000278,13.2015,256,512,14
0.000301,13.9346,256,512,16
0.000348,13.5592,256,512,18
0.000372,14.0938,256,512,20
0.001423,5.52658,256,512,30
0.002252,4.6562,256,512,40
0.002456,5.33681,256,512,50
0.002745,5.72992,256,512,60
IN256OUT1024,IN256OUT1024,,,BATCH
7.9e-05,6.63656,256,1024,1
0.000109,9.61996,256,1024,2
0.000172,12.1927,256,1024,4
0.000236,13.3294,256,1024,6
0.000304,13.7971,256,1024,8
0.000603,8.69466,256,1024,10
0.000898,7.00608,256,1024,12
0.001332,5.51053,256,1024,14
0.001471,5.70266,256,1024,16
0.00203,4.64886,256,1024,18
0.002213,4.73826,256,1024,20
0.002802,5.61336,256,1024,30
0.003498,5.99529,256,1024,40
0.004559,5.75003,256,1024,50
0.005383,5.84382,256,1024,60
IN256OUT2048,IN256OUT2048,,,BATCH
0.000126,8.32203,256,2048,1
0.00019,11.0376,256,2048,2
0.000319,13.1483,256,2048,4
0.000889,7.077,256,2048,6
0.001632,5.14008,256,2048,8
0.002184,4.80117,256,2048,10
0.002574,4.88847,256,2048,12
0.002731,5.37534,256,2048,14
0.002992,5.60736,256,2048,16
0.003292,5.7334,256,2048,18
0.003781,5.54655,256,2048,20
0.005656,5.56175,256,2048,30
0.007011,5.98246,256,2048,40
0.008025,6.53318,256,2048,50
0.00916,6.8684,256,2048,60
IN256OUT4096,IN256OUT4096,,,BATCH
0.000224,9.36229,256,4096,1
0.000352,11.9156,256,4096,2
0.001602,5.23633,256,4096,4
0.002384,5.27807,256,4096,6
0.003115,5.38594,256,4096,8
0.00358,5.85797,256,4096,10
0.004353,5.78126,256,4096,12
0.005056,5.80699,256,4096,14
0.005268,6.36948,256,4096,16
0.006169,6.1191,256,4096,18
0.006508,6.44484,256,4096,20
0.009015,6.97888,256,4096,30
0.009451,8.87589,256,4096,40
0.01184,8.85622,256,4096,50
0.010204,12.3314,256,4096,60
IN512OUT64,IN512OUT64,,,BATCH
5.7e-05,1.14975,512,64,1
5.8e-05,2.25986,512,64,2
6e-05,4.36907,512,64,4
5.9e-05,6.66468,512,64,6
6.2e-05,8.45626,512,64,8
8.8e-05,7.44727,512,64,10
0.000102,7.71012,512,64,12
0.000103,8.90781,512,64,14
0.000116,9.03945,512,64,16
0.000141,8.3663,512,64,18
0.000144,9.10222,512,64,20
0.000167,11.7729,512,64,30
0.000221,11.8617,512,64,40
0.00028,11.7029,512,64,50
0.000302,13.0204,512,64,60
IN512OUT128,IN512OUT128,,,BATCH
6.7e-05,1.9563,512,128,1
7e-05,3.74491,512,128,2
7.1e-05,7.38434,512,128,4
0.000102,7.71012,512,128,6
0.000113,9.27943,512,128,8
0.000144,9.10222,512,128,10
0.000152,10.3478,512,128,12
0.000167,10.9881,512,128,14
0.000173,12.1223,512,128,16
0.000217,10.8723,512,128,18
0.000222,11.8083,512,128,20
0.000302,13.0204,512,128,30
0.000401,13.0745,512,128,40
0.000484,13.5405,512,128,50
0.000553,14.2212,512,128,60
IN512OUT256,IN512OUT256,,,BATCH
6.8e-05,3.85506,512,256,1
7.2e-05,7.28178,512,256,2
0.000112,9.36229,512,256,4
0.00015,10.4858,512,256,6
0.000183,11.4598,512,256,8
0.000222,11.8083,512,256,10
0.000263,11.9609,512,256,12
0.000285,12.8772,512,256,14
0.000306,13.7069,512,256,16
0.000353,13.3671,512,256,18
0.000436,12.025,512,256,20
0.000549,14.3248,512,256,30
0.001877,5.58645,512,256,40
0.002895,4.52753,512,256,50
0.003444,4.56697,512,256,60
IN512OUT512,IN512OUT512,,,BATCH
8.1e-05,6.47269,512,512,1
0.000115,9.11805,512,512,2
0.000173,12.1223,512,512,4
0.000266,11.826,512,512,6
0.000307,13.6622,512,512,8
0.000401,13.0745,512,512,10
0.000439,14.3313,512,512,12
0.000531,13.823,512,512,14
0.000624,13.4433,512,512,16
0.000671,14.0644,512,512,18
0.001729,6.06464,512,512,20
0.00374,4.20552,512,512,30
0.004929,4.25472,512,512,40
0.00547,4.7924,512,512,50
0.006664,4.72048,512,512,60
IN512OUT1024,IN512OUT1024,,,BATCH
0.000159,6.59482,512,1024,1
0.000187,11.2147,512,1024,2
0.000318,13.1896,512,1024,4
0.000446,14.1064,512,1024,6
0.000581,14.4382,512,1024,8
0.001758,5.9646,512,1024,10
0.002661,4.72864,512,1024,12
0.003061,4.79584,512,1024,14
0.003898,4.30406,512,1024,16
0.004627,4.07918,512,1024,18
0.004862,4.31335,512,1024,20
0.006708,4.68952,512,1024,30
0.00898,4.67072,512,1024,40
0.011635,4.50613,512,1024,50
0.012347,5.09553,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
0.000218,9.61996,512,2048,1
0.000344,12.1927,512,2048,2
0.000613,13.6845,512,2048,4
0.00271,4.64314,512,2048,6
0.003886,4.31735,512,2048,8
0.005057,4.14703,512,2048,10
0.005486,4.58728,512,2048,12
0.005988,4.90316,512,2048,14
0.007138,4.70082,512,2048,16
0.00733,5.1499,512,2048,18
0.008586,4.88505,512,2048,20
0.012283,5.12208,512,2048,30
0.011541,7.26853,512,2048,40
0.015888,6.5998,512,2048,50
0.017968,7.00296,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
0.000309,13.5738,512,4096,1
0.000501,16.7437,512,4096,2
0.003715,4.51607,512,4096,4
0.005313,4.73665,512,4096,6
