
IN64OUT16,IN64OUT16,,,,,BATCH
0.000869,21.7196,64,64,16,16,1
0.000866,43.5898,64,64,16,16,2
0.000879,85.8902,64,64,16,16,4
0.000873,129.721,64,64,16,16,6
0.000874,172.763,64,64,16,16,8
0.000899,209.948,64,64,16,16,10
0.00094,240.949,64,64,16,16,12
0.000973,271.574,64,64,16,16,14
0.000996,303.203,64,64,16,16,16
0.000993,342.134,64,64,16,16,18
0.000998,378.244,64,64,16,16,20

IN64OUT32,IN64OUT32,,,,,BATCH
0.001726,43.7413,64,64,32,32,1
0.001735,87.0288,64,64,32,32,2
0.001731,174.46,64,64,32,32,4
0.002151,210.593,64,64,32,32,6
0.001982,304.732,64,64,32,32,8
0.002001,377.299,64,64,32,32,10
0.003248,278.932,64,64,32,32,12
0.003692,286.285,64,64,32,32,14
0.002431,496.898,64,64,32,32,16
0.004943,274.925,64,64,32,32,18
0.002283,661.388,64,64,32,32,20

IN64OUT64,IN64OUT64,,,,,BATCH
0.003679,82.0848,64,64,64,64,1
0.003722,162.273,64,64,64,64,2
0.010606,113.894,64,64,64,64,4
0.01061,170.777,64,64,64,64,6
0.011253,214.691,64,64,64,64,8
0.011378,265.416,64,64,64,64,10
0.011362,318.947,64,64,64,64,12
0.01164,363.218,64,64,64,64,14
0.011909,405.73,64,64,64,64,16
0.012075,450.171,64,64,64,64,18
0.011899,507.589,64,64,64,64,20

IN128OUT16,IN128OUT16,,,,,BATCH
0.003302,22.8642,128,128,16,16,1
0.003311,45.604,128,128,16,16,2
0.003624,83.3305,128,128,16,16,4
0.003673,123.328,128,128,16,16,6
0.003675,164.348,128,128,16,16,8
0.003679,205.212,128,128,16,16,10
0.003913,231.528,128,128,16,16,12
0.003852,274.394,128,128,16,16,14
0.003794,318.387,128,128,16,16,16
0.003952,343.865,128,128,16,16,18
0.003832,394.037,128,128,16,16,20

IN128OUT32,IN128OUT32,,,,,BATCH
0.006974,43.3022,128,128,32,32,1
0.007354,82.1294,128,128,32,32,2
0.00756,159.783,128,128,32,32,4
0.00956,189.533,128,128,32,32,6
0.009686,249.424,128,128,32,32,8
0.007809,386.72,128,128,32,32,10
0.013691,264.691,128,128,32,32,12
0.015313,276.096,128,128,32,32,14
0.010552,457.907,128,128,32,32,16
0.020512,265.007,128,128,32,32,18
0.010809,558.775,128,128,32,32,20

IN128OUT64,IN128OUT64,,,,,BATCH
0.015872,76.1063,128,128,64,64,1
0.016124,149.834,128,128,64,64,2
0.042662,113.259,128,128,64,64,4
0.043866,165.225,128,128,64,64,6
0.046629,207.246,128,128,64,64,8
0.045262,266.882,128,128,64,64,10
0.048249,300.431,128,128,64,64,12
0.050191,336.942,128,128,64,64,14
0.049722,388.708,128,128,64,64,16
0.052037,417.843,128,128,64,64,18
0.047243,511.381,128,128,64,64,20

IN256OUT16,IN256OUT16,,,,,BATCH
0.014083,21.4436,256,256,16,16,1
0.014355,42.0745,256,256,16,16,2
0.014373,84.0437,256,256,16,16,4
0.014409,125.751,256,256,16,16,6
0.014415,167.598,256,256,16,16,8
0.014413,209.526,256,256,16,16,10
0.017314,209.303,256,256,16,16,12
0.017636,239.729,256,256,16,16,14
0.017572,274.974,256,256,16,16,16
0.018219,298.36,256,256,16,16,18
0.017908,337.268,256,256,16,16,20

IN256OUT32,IN256OUT32,,,,,BATCH
0.034675,34.8366,256,256,32,32,1
0.034634,69.7557,256,256,32,32,2
0.036622,131.938,256,256,32,32,4
0.039275,184.539,256,256,32,32,6
0.040543,238.356,256,256,32,32,8
0.040438,298.719,256,256,32,32,10
0.056677,255.757,256,256,32,32,12
0.062803,269.277,256,256,32,32,14
0.041779,462.609,256,256,32,32,16
0.083413,260.67,256,256,32,32,18
0.043394,556.74,256,256,32,32,20

IN256OUT64,IN256OUT64,,,,,BATCH
0.064232,75.2248,256,256,64,64,1
0.067161,143.888,256,256,64,64,2
0.167207,115.589,256,256,64,64,4
0.179137,161.837,256,256,64,64,6
0.186955,206.759,256,256,64,64,8
0.180334,267.938,256,256,64,64,10
0.20003,289.867,256,256,64,64,12
0.203014,333.207,256,256,64,64,14
0.201944,382.826,256,256,64,64,16
0.209356,415.432,256,256,64,64,18
0.186507,518.14,256,256,64,64,20

IN512OUT16,IN512OUT16,,,,,BATCH
0.0627,19.2657,512,512,16,16,1
0.062802,38.4688,512,512,16,16,2
0.063956,75.5494,512,512,16,16,4
0.067228,107.809,512,512,16,16,6
0.068309,141.47,512,512,16,16,8
0.068775,175.639,512,512,16,16,10
0.078168,185.441,512,512,16,16,12
0.078741,214.773,512,512,16,16,14
0.079176,244.106,512,512,16,16,16
0.079126,274.793,512,512,16,16,18
0.079267,304.782,512,512,16,16,20

IN512OUT32,IN512OUT32,,,,,BATCH
0.135596,35.6341,512,512,32,32,1
0.137196,70.437,512,512,32,32,2
0.159452,121.211,512,512,32,32,4
0.160668,180.441,512,512,32,32,6
0.161266,239.695,512,512,32,32,8
0.164685,293.399,512,512,32,32,10
0.223658,259.244,512,512,32,32,12
0.245537,275.501,512,512,32,32,14
0.16226,476.454,512,512,32,32,16
0.319884,271.889,512,512,32,32,18
0.170162,567.91,512,512,32,32,20

IN512OUT64,IN512OUT64,,,,,BATCH
0.241589,80.001,512,512,64,64,1
0.278032,139.03,512,512,64,64,2
0.666395,116.011,512,512,64,64,4
0.672783,172.365,512,512,64,64,6
0.696134,222.111,512,512,64,64,8
0.669339,288.753,512,512,64,64,10
0.748305,309.938,512,512,64,64,12
0.767818,352.405,512,512,64,64,14
0.774251,399.402,512,512,64,64,16
0.796565,436.741,512,512,64,64,18
0.68303,565.93,512,512,64,64,20

