
IN256OUT64,IN256OUT64,,,BATCH
5.9e-05,0.55539,256,64,1
6.1e-05,1.07436,256,64,2
7e-05,1.87246,256,64,4
7.8e-05,2.52062,256,64,6
8.7e-05,3.01315,256,64,8
9.7e-05,3.37814,256,64,10
0.000103,3.81763,256,64,12
0.000111,4.1329,256,64,14
0.000119,4.40578,256,64,16
0.000131,4.50247,256,64,18
0.000143,4.58294,256,64,20
0.000179,5.49184,256,64,30
0.000226,5.79965,256,64,40
0.000316,5.18481,256,64,50
0.000302,6.5102,256,64,60
IN256OUT128,IN256OUT128,,,BATCH
6e-05,1.09227,256,128,1
6.2e-05,2.11406,256,128,2
7.1e-05,3.69217,256,128,4
8.2e-05,4.79532,256,128,6
9e-05,5.82542,256,128,8
0.000102,6.4251,256,128,10
0.000113,6.95958,256,128,12
0.00012,7.64587,256,128,14
0.000129,8.1285,256,128,16
0.000148,7.97059,256,128,18
0.000162,8.09086,256,128,20
0.000202,9.73307,256,128,30
0.000248,10.5703,256,128,40
0.000289,11.3384,256,128,50
0.000346,11.3646,256,128,60
IN256OUT256,IN256OUT256,,,BATCH
5.8e-05,2.25986,256,256,1
6.1e-05,4.29744,256,256,2
7.7e-05,6.80894,256,256,4
9.3e-05,8.45626,256,256,6
0.000112,9.36229,256,256,8
0.000133,9.85504,256,256,10
0.000159,9.89223,256,256,12
0.000164,11.1891,256,256,14
0.000189,11.096,256,256,16
0.000218,10.8225,256,256,18
0.000223,11.7553,256,256,20
0.000302,13.0204,256,256,30
0.000389,13.4778,256,256,40
0.000487,13.4571,256,256,50
0.000561,14.0184,256,256,60
IN256OUT512,IN256OUT512,,,BATCH
6e-05,4.36907,256,512,1
7.4e-05,7.08497,256,512,2
0.000108,9.70904,256,512,4
0.000161,9.76934,256,512,6
0.000175,11.9837,256,512,8
0.000224,11.7029,256,512,10
0.00025,12.5829,256,512,12
0.000291,12.6117,256,512,14
0.000316,13.2731,256,512,16
0.000356,13.2545,256,512,18
0.000382,13.7248,256,512,20
0.000566,13.8946,256,512,30
0.000731,14.3444,256,512,40
0.000896,14.6286,256,512,50
0.00106,14.8383,256,512,60
IN256OUT1024,IN256OUT1024,,,BATCH
8.2e-05,6.39376,256,1024,1
0.000111,9.44663,256,1024,2
0.000178,11.7818,256,1024,4
0.000243,12.9454,256,1024,6
0.000307,13.6622,256,1024,8
0.000383,13.689,256,1024,10
0.000447,14.0748,256,1024,12
0.000513,14.3081,256,1024,14
0.000583,14.3887,256,1024,16
0.00101,9.34375,256,1024,18
0.001318,7.95581,256,1024,20
0.001371,11.4724,256,1024,30
0.001434,14.6245,256,1024,40
0.001756,14.9285,256,1024,50
0.002111,14.9016,256,1024,60
IN256OUT2048,IN256OUT2048,,,BATCH
0.000152,6.89853,256,2048,1
0.000193,10.8661,256,2048,2
0.000317,13.2312,256,2048,4
0.000448,14.0434,256,2048,6
0.000831,10.0946,256,2048,8
0.001406,7.45787,256,2048,10
0.001629,7.72432,256,2048,12
0.001765,8.31732,256,2048,14
0.002307,7.27231,256,2048,16
0.001978,9.54215,256,2048,18
0.002976,7.04688,256,2048,20
0.004248,7.4052,256,2048,30
0.005414,7.74714,256,2048,40
0.007258,7.22359,256,2048,50
0.007733,8.13585,256,2048,60
IN256OUT4096,IN256OUT4096,,,BATCH
0.000226,9.27943,256,4096,1
0.00035,11.9837,256,4096,2
0.001023,8.20001,256,4096,4
0.001553,8.10233,256,4096,6
0.002341,7.16669,256,4096,8
0.002615,8.0197,256,4096,10
0.003005,8.37465,256,4096,12
0.003692,7.95236,256,4096,14
0.004464,7.51667,256,4096,16
0.004148,9.10047,256,4096,18
0.005334,7.86334,256,4096,20
0.006524,9.64356,256,4096,30
0.007883,10.6414,256,4096,40
0.008996,11.656,256,4096,50
0.011361,11.0755,256,4096,60
IN512OUT64,IN512OUT64,,,BATCH
6.2e-05,1.05703,512,64,1
8.8e-05,1.48945,512,64,2
0.000133,1.97101,512,64,4
0.000121,3.24972,512,64,6
0.000114,4.59902,512,64,8
0.000133,4.92752,512,64,10
0.000142,5.53825,512,64,12
0.000149,6.15774,512,64,14
0.000169,6.20459,512,64,16
0.000179,6.59021,512,64,18
0.000212,6.18264,512,64,20
0.000257,7.65012,512,64,30
0.000298,8.79678,512,64,40
0.000358,9.15307,512,64,50
0.000395,9.95484,512,64,60
IN512OUT128,IN512OUT128,,,BATCH
8.4e-05,1.56038,512,128,1
8.8e-05,2.97891,512,128,2
9.9e-05,5.29584,512,128,4
0.000119,6.60867,512,128,6
0.000138,7.59838,512,128,8
0.000155,8.45626,512,128,10
0.000171,9.19804,512,128,12
0.0002,9.17504,512,128,14
0.000213,9.84578,512,128,16
0.000232,10.1694,512,128,18
0.000247,10.6131,512,128,20
0.000337,11.6681,512,128,30
0.000427,12.2784,512,128,40
0.000504,13.0032,512,128,50
0.000579,13.5826,512,128,60
