
IN64OUT16,IN64OUT16,,,,,BATCH
0.000782,24.136,64,64,16,16,1
0.000832,45.3711,64,64,16,16,2
0.001209,62.4462,64,64,16,16,4
0.001772,63.9087,64,64,16,16,6
0.002339,64.5553,64,64,16,16,8
0.00373,50.6015,64,64,16,16,10
0.004519,50.12,64,64,16,16,12
0.004493,58.8117,64,64,16,16,14
0.004607,65.5502,64,64,16,16,16
0.006374,53.3007,64,64,16,16,18
0.006676,56.5439,64,64,16,16,20
IN64OUT32,IN64OUT32,,,,,BATCH
0.003808,19.826,64,64,32,32,1
0.003952,38.2072,64,64,32,32,2
0.004874,61.9594,64,64,32,32,4
0.009311,48.6505,64,64,32,32,6
0.009737,62.0294,64,64,32,32,8
0.014147,53.3664,64,64,32,32,10
0.014405,62.8927,64,64,32,32,12
0.018772,56.3054,64,64,32,32,14
0.015649,77.1908,64,64,32,32,16
0.018995,71.5427,64,64,32,32,18
0.016447,91.807,64,64,32,32,20
IN64OUT64,IN64OUT64,,,,,BATCH
0.007139,42.3014,64,64,64,64,1
0.009489,63.6505,64,64,64,64,2
0.018529,65.1929,64,64,64,64,4
0.027627,65.5858,64,64,64,64,6
0.031467,76.7763,64,64,64,64,8
0.033011,91.4816,64,64,64,64,10
0.033152,109.311,64,64,64,64,12
0.052887,79.9414,64,64,64,64,14
0.045091,107.157,64,64,64,64,16
0.040281,134.947,64,64,64,64,18
0.072271,83.5715,64,64,64,64,20
IN128OUT16,IN128OUT16,,,,,BATCH
0.002177,34.6796,128,128,16,16,1
0.002466,61.2307,128,128,16,16,2
0.003353,90.0656,128,128,16,16,4
0.006669,67.924,128,128,16,16,6
0.008872,68.0771,128,128,16,16,8
0.013899,54.3186,128,128,16,16,10
0.016552,54.7348,128,128,16,16,12
0.017599,60.0582,128,128,16,16,14
0.016445,73.4545,128,128,16,16,16
0.021685,62.6679,128,128,16,16,18
0.019686,76.7017,128,128,16,16,20
IN128OUT32,IN128OUT32,,,,,BATCH
0.015124,19.9676,128,128,32,32,1
0.015818,38.1831,128,128,32,32,2
0.017929,67.3746,128,128,32,32,4
0.022858,79.2694,128,128,32,32,6
0.020536,117.643,128,128,32,32,8
0.053518,56.4277,128,128,32,32,10
0.030572,118.536,128,128,32,32,12
0.039188,107.887,128,128,32,32,14
0.070226,68.8041,128,128,32,32,16
0.048649,111.735,128,128,32,32,18
0.051037,118.342,128,128,32,32,20
IN128OUT64,IN128OUT64,,,,,BATCH
0.014087,85.75,128,128,64,64,1
0.036452,66.2767,128,128,64,64,2
0.049568,97.479,128,128,64,64,4
0.055152,131.414,128,128,64,64,6
0.073553,131.384,128,128,64,64,8
0.133061,90.7824,128,128,64,64,10
0.110412,131.286,128,128,64,64,12
0.128483,131.624,128,128,64,64,14
0.189549,101.965,128,128,64,64,16
0.165096,131.701,128,128,64,64,18
0.183375,131.747,128,128,64,64,20
IN256OUT16,IN256OUT16,,,,,BATCH
0.012221,24.7107,256,256,16,16,1
0.013193,45.7803,256,256,16,16,2
0.017049,70.8522,256,256,16,16,4
0.017541,103.297,256,256,16,16,6
0.020209,119.547,256,256,16,16,8
0.043227,69.8614,256,256,16,16,10
0.036343,99.7132,256,256,16,16,12
0.036465,115.943,256,256,16,16,14
0.062888,76.8324,256,256,16,16,16
0.053505,101.595,256,256,16,16,18
0.054193,111.45,256,256,16,16,20
IN256OUT32,IN256OUT32,,,,,BATCH
0.047347,25.5129,256,256,32,32,1
0.050897,47.4668,256,256,32,32,2
0.042132,114.683,256,256,32,32,4
0.082087,88.2936,256,256,32,32,6
0.083932,115.137,256,256,32,32,8
0.123878,97.512,256,256,32,32,10
0.12586,115.172,256,256,32,32,12
0.164922,102.542,256,256,32,32,14
0.167883,115.124,256,256,32,32,16
0.206979,105.051,256,256,32,32,18
0.209976,115.057,256,256,32,32,20
IN256OUT64,IN256OUT64,,,,,BATCH
0.057801,83.5944,256,256,64,64,1
0.074726,129.321,256,256,64,64,2
0.149709,129.099,256,256,64,64,4
0.229948,126.076,256,256,64,64,6
0.321503,120.231,256,256,64,64,8
0.406889,118.751,256,256,64,64,10
0.486832,119.101,256,256,64,64,12
0.582179,116.194,256,256,64,64,14
0.64708,119.474,256,256,64,64,16
0.75048,115.89,256,256,64,64,18
0.833697,115.914,256,256,64,64,20
IN512OUT16,IN512OUT16,,,,,BATCH
0.024625,49.0542,512,512,16,16,1
0.029813,81.0358,512,512,16,16,2
0.048566,99.4901,512,512,16,16,4
0.055387,130.857,512,512,16,16,6
0.073671,131.173,512,512,16,16,8
0.165064,73.1813,512,512,16,16,10
0.144533,100.292,512,512,16,16,12
0.145781,116.006,512,512,16,16,14
0.147508,131.026,512,512,16,16,16
0.214958,101.151,512,512,16,16,18
0.21813,110.756,512,512,16,16,20
IN512OUT32,IN512OUT32,,,,,BATCH
0.121726,39.6944,512,512,32,32,1
0.175143,55.1759,512,512,32,32,2
0.168561,114.661,512,512,32,32,4
0.336754,86.0896,512,512,32,32,6
0.346634,111.514,512,512,32,32,8
