
IN64OUT16,IN64OUT16,,,,,BATCH
0.002413,7.82195,64,64,16,16,1
0.005021,7.51817,64,64,16,16,2
0.005589,13.5082,64,64,16,16,4
0.011216,10.0968,64,64,16,16,6
0.017999,8.38907,64,64,16,16,8
0.034712,5.43742,64,64,16,16,10
0.042232,5.36305,64,64,16,16,12
0.04442,5.9487,64,64,16,16,14
0.050028,6.03642,64,64,16,16,16
0.090181,3.7673,64,64,16,16,18
0.061582,6.12983,64,64,16,16,20
IN64OUT32,IN64OUT32,,,,,BATCH
0.01044,7.23156,64,64,32,32,1
0.010482,14.4052,64,64,32,32,2
0.018954,15.9328,64,64,32,32,4
0.03425,13.2258,64,64,32,32,6
0.03402,17.7537,64,64,32,32,8
0.101268,7.45521,64,64,32,32,10
0.084501,10.7214,64,64,32,32,12
0.114129,9.26114,64,64,32,32,14
0.176006,6.86317,64,64,32,32,16
0.181335,7.49416,64,64,32,32,18
0.222395,6.78949,64,64,32,32,20
IN64OUT64,IN64OUT64,,,,,BATCH
0.038228,7.8997,64,64,64,64,1
0.028895,20.9026,64,64,64,64,2
0.037389,32.3079,64,64,64,64,4
0.087896,20.6146,64,64,64,64,6
0.136186,17.7398,64,64,64,64,8
0.234201,12.8945,64,64,64,64,10
0.30468,11.894,64,64,64,64,12
0.434793,9.72384,64,64,64,64,14
0.540934,8.9324,64,64,64,64,16
0.702772,7.73482,64,64,64,64,18
0.846431,7.13561,64,64,64,64,20
IN128OUT16,IN128OUT16,,,,,BATCH
0.00957,7.88897,128,128,16,16,1
0.009983,15.1252,128,128,16,16,2
0.015806,19.106,128,128,16,16,4
0.025085,18.058,128,128,16,16,6
0.034163,17.6794,128,128,16,16,8
0.105993,7.12287,128,128,16,16,10
0.101757,8.90327,128,128,16,16,12
0.119635,8.83491,128,128,16,16,14
0.158818,7.60594,128,128,16,16,16
0.209185,6.49642,128,128,16,16,18
0.254314,5.93734,128,128,16,16,20
IN128OUT32,IN128OUT32,,,,,BATCH
0.04169,7.2437,128,128,32,32,1
0.062928,9.59795,128,128,32,32,2
0.047291,25.5431,128,128,32,32,4
0.109998,16.4725,128,128,32,32,6
0.195886,12.3333,128,128,32,32,8
0.247681,12.1927,128,128,32,32,10
0.331342,10.937,128,128,32,32,12
0.462864,9.13413,128,128,32,32,14
0.555763,8.69406,128,128,32,32,16
0.735071,7.39496,128,128,32,32,18
0.895984,6.74097,128,128,32,32,20
IN128OUT64,IN128OUT64,,,,,BATCH
0.074291,16.2598,128,128,64,64,1
0.128213,18.843,128,128,64,64,2
0.135308,35.7099,128,128,64,64,4
0.346794,20.8993,128,128,64,64,6
0.537674,17.9731,128,128,64,64,8
0.884769,13.6528,128,128,64,64,10
1.2065,12.0145,128,128,64,64,12
1.72761,9.78894,128,128,64,64,14
2.14794,8.9981,128,128,64,64,16
2.79822,7.77039,128,128,64,64,18
3.3707,7.16741,128,128,64,64,20
IN256OUT16,IN256OUT16,,,,,BATCH
0.038883,7.76663,256,256,16,16,1
0.040018,15.0927,256,256,16,16,2
0.049194,24.555,256,256,16,16,4
0.086017,21.0649,256,256,16,16,6
0.137039,17.6294,256,256,16,16,8
0.276891,10.9065,256,256,16,16,10
0.376584,9.62303,256,256,16,16,12
0.482254,8.76687,256,256,16,16,14
0.583468,8.28124,256,256,16,16,16
0.80632,6.74151,256,256,16,16,18
1.00183,6.02875,256,256,16,16,20
IN256OUT32,IN256OUT32,,,,,BATCH
0.166715,7.24566,256,256,32,32,1
0.170057,14.2065,256,256,32,32,2
0.238268,20.279,256,256,32,32,4
0.442791,16.3683,256,256,32,32,6
0.551757,17.5144,256,256,32,32,8
0.986424,12.2458,256,256,32,32,10
1.34833,10.7507,256,256,32,32,12
1.7925,9.43455,256,256,32,32,14
2.16431,8.93003,256,256,32,32,16
2.86296,7.59469,256,256,32,32,18
3.51998,6.86344,256,256,32,32,20
IN256OUT64,IN256OUT64,,,,,BATCH
0.323649,14.9293,256,256,64,64,1
0.325082,29.7269,256,256,64,64,2
0.541742,35.6763,256,256,64,64,4
1.44494,20.0638,256,256,64,64,6
2.15777,17.9142,256,256,64,64,8
3.72392,12.9751,256,256,64,64,10
4.95371,11.7048,256,256,64,64,12
7.07153,9.56593,256,256,64,64,14
8.67813,8.90853,256,256,64,64,16
11.4272,7.61104,256,256,64,64,18
13.9959,6.90463,256,256,64,64,20
IN512OUT16,IN512OUT16,,,,,BATCH
0.155367,7.77488,512,512,16,16,1
0.167658,14.4098,512,512,16,16,2
0.186889,25.8541,512,512,16,16,4
0.353225,20.5188,512,512,16,16,6
0.552073,17.5043,512,512,16,16,8
1.04617,11.5465,512,512,16,16,10
1.48918,9.7339,512,512,16,16,12
2.07829,8.13719,512,512,16,16,14
2.27404,8.49914,512,512,16,16,16
3.08888,7.03921,512,512,16,16,18
3.84514,6.28305,512,512,16,16,20
IN512OUT32,IN512OUT32,,,,,BATCH
0.667672,7.23684,512,512,32,32,1
0.685098,14.1055,512,512,32,32,2
0.761341,25.3859,512,512,32,32,4
2.09567,13.8338,512,512,32,32,6
2.34514,16.4829,512,512,32,32,8
4.33212,11.1535,512,512,32,32,10
5.779,10.0332,512,512,32,32,12
7.82902,8.64038,512,512,32,32,14
9.38444,8.23804,512,512,32,32,16
12.6522,6.87417,512,512,32,32,18
15.1213,6.39076,512,512,32,32,20
IN512OUT64,IN512OUT64,,,,,BATCH
1.23384,15.6645,512,512,64,64,1
1.30023,29.7291,512,512,64,64,2
2.31857,33.3435,512,512,64,64,4
6.54333,17.7225,512,512,64,64,6
9.11941,16.9549,512,512,64,64,8
15.8694,12.179,512,512,64,64,10
21.0287,11.0291,512,512,64,64,12
29.8039,9.07876,512,512,64,64,14
37.1481,8.32444,512,512,64,64,16
48.3531,7.19483,512,512,64,64,18
58.7577,6.57866,512,512,64,64,20
