
IN256OUT64,IN256OUT64,,,BATCH
5.6e-05,0.585143,256,64,1
9.6e-05,0.682667,256,64,2
0.000175,0.748983,256,64,4
0.000252,0.78019,256,64,6
0.000333,0.787219,256,64,8
0.000414,0.791498,256,64,10
0.000491,0.800847,256,64,12
0.00057,0.804828,256,64,14
0.000645,0.81285,256,64,16
0.000723,0.815801,256,64,18
0.000809,0.810087,256,64,20
0.0012,0.8192,256,64,30
0.001788,0.733065,256,64,40
0.002228,0.735368,256,64,50
0.002721,0.722558,256,64,60
IN256OUT128,IN256OUT128,,,BATCH
5.6e-05,1.17029,256,128,1
9.6e-05,1.36533,256,128,2
0.000175,1.49797,256,128,4
0.000253,1.55421,256,128,6
0.000332,1.57918,256,128,8
0.000416,1.57538,256,128,10
0.000505,1.55729,256,128,12
0.000568,1.61532,256,128,14
0.000669,1.56738,256,128,16
0.000787,1.49892,256,128,18
0.000906,1.44671,256,128,20
0.001361,1.44458,256,128,30
0.001845,1.42083,256,128,40
0.002325,1.40938,256,128,50
0.002778,1.41546,256,128,60
IN256OUT256,IN256OUT256,,,BATCH
5.6e-05,2.34057,256,256,1
9.5e-05,2.75941,256,256,2
0.000177,2.96208,256,256,4
0.000256,3.072,256,256,6
0.000344,3.04819,256,256,8
0.00045,2.91271,256,256,10
0.000563,2.79372,256,256,12
0.000648,2.8318,256,256,14
0.000763,2.74856,256,256,16
0.000862,2.737,256,256,18
0.000955,2.74496,256,256,20
0.001415,2.77891,256,256,30
0.001892,2.77108,256,256,40
0.002377,2.75709,256,256,50
0.002871,2.73923,256,256,60
IN256OUT512,IN256OUT512,,,BATCH
5.7e-05,4.59902,256,512,1
0.000103,5.09017,256,512,2
0.000202,5.19097,256,512,4
0.000291,5.40503,256,512,6
0.0004,5.24288,256,512,8
0.000506,5.18071,256,512,10
0.0006,5.24288,256,512,12
0.000694,5.28821,256,512,14
0.000781,5.37043,256,512,16
0.000886,5.32572,256,512,18
0.001035,5.06558,256,512,20
0.001459,5.39021,256,512,30
0.001965,5.33626,256,512,40
0.00246,5.32813,256,512,50
0.002914,5.39761,256,512,60
IN256OUT1024,IN256OUT1024,,,BATCH
7.9e-05,6.63656,256,1024,1
0.000144,7.28178,256,1024,2
0.00028,7.48983,256,1024,4
0.000416,7.56185,256,1024,6
0.000547,7.66783,256,1024,8
0.000682,7.68751,256,1024,10
0.00084,7.48983,256,1024,12
0.000945,7.76723,256,1024,14
0.001091,7.68892,256,1024,16
0.001204,7.83819,256,1024,18
0.001359,7.71579,256,1024,20
0.001996,7.88008,256,1024,30
0.002662,7.87811,256,1024,40
0.003372,7.77414,256,1024,50
0.004074,7.72147,256,1024,60
IN256OUT2048,IN256OUT2048,,,BATCH
0.000126,8.32203,256,2048,1
0.000236,8.88624,256,2048,2
0.000453,9.25895,256,2048,4
0.00067,9.39023,256,2048,6
0.000891,9.41482,256,2048,8
0.001114,9.41271,256,2048,10
0.001326,9.48938,256,2048,12
0.001548,9.48325,256,2048,14
0.001771,9.4733,256,2048,16
0.002008,9.39959,256,2048,18
0.002198,9.54118,256,2048,20
0.003299,9.5354,256,2048,30
0.00438,9.57604,256,2048,40
0.005471,9.58304,256,2048,50
0.006583,9.55713,256,2048,60
IN256OUT4096,IN256OUT4096,,,BATCH
0.000221,9.48938,256,4096,1
0.000432,9.70904,256,4096,2
0.00084,9.98644,256,4096,4
0.001247,10.0905,256,4096,6
0.001658,10.1189,256,4096,8
0.002075,10.1068,256,4096,10
0.002482,10.1393,256,4096,12
0.002909,10.0929,256,4096,14
0.003303,10.1588,256,4096,16
0.003706,10.1858,256,4096,18
0.004127,10.1631,256,4096,20
0.006177,10.1853,256,4096,30
0.008225,10.1989,256,4096,40
0.008833,11.8711,256,4096,50
0.009216,13.6533,256,4096,60
IN512OUT64,IN512OUT64,,,BATCH
6.3e-05,1.04025,512,64,1
0.000149,0.879678,512,64,2
0.000282,0.929589,512,64,4
0.000413,0.952097,512,64,6
0.000547,0.958479,512,64,8
0.000679,0.965184,512,64,10
0.000815,0.964947,512,64,12
0.00094,0.976068,512,64,14
0.001134,0.92467,512,64,16
0.001304,0.904638,512,64,18
0.001518,0.863452,512,64,20
0.002333,0.842726,512,64,30
0.003141,0.834588,512,64,40
0.003905,0.839129,512,64,50
0.00467,0.842004,512,64,60
IN512OUT128,IN512OUT128,,,BATCH
8.3e-05,1.57918,512,128,1
0.000151,1.73605,512,128,2
0.000283,1.85261,512,128,4
0.000417,1.88593,512,128,6
0.000582,1.80168,512,128,8
0.000755,1.73605,512,128,10
0.000925,1.70039,512,128,12
0.001126,1.62967,512,128,14
0.001294,1.62067,512,128,16
0.001437,1.64182,512,128,18
0.001578,1.66124,512,128,20
0.002367,1.66124,512,128,30
0.003169,1.65443,512,128,40
0.003998,1.63922,512,128,50
0.004733,1.66159,512,128,60
IN512OUT256,IN512OUT256,,,BATCH
8.3e-05,3.15836,512,256,1
0.000153,3.42672,512,256,2
0.000311,3.37163,512,256,4
0.000488,3.22308,512,256,6
0.000642,3.26659,512,256,8
0.000833,3.14699,512,256,10
0.00096,3.2768,512,256,12
0.001151,3.18855,512,256,14
0.001302,3.22143,512,256,16
0.001461,3.2297,512,256,18
0.00162,3.23635,512,256,20
0.002437,3.22705,512,256,30
0.003234,3.24235,512,256,40
0.004034,3.24918,512,256,50
0.004824,3.2605,512,256,60
IN512OUT512,IN512OUT512,,,BATCH
8.6e-05,6.09637,512,512,1
0.000168,6.24152,512,512,2
0.000356,5.89088,512,512,4
0.000509,6.18021,512,512,6
0.000676,6.20459,512,512,8
0.000848,6.18264,512,512,10
0.00102,6.16809,512,512,12
0.001187,6.18368,512,512,14
0.001355,6.19085,512,512,16
0.001526,6.18426,512,512,18
0.001687,6.21563,512,512,20
0.002517,6.24896,512,512,30
0.003345,6.26951,512,512,40
0.004179,6.27289,512,512,50
0.005018,6.26889,512,512,60
IN512OUT1024,IN512OUT1024,,,BATCH
0.000128,8.192,512,1024,1
0.000256,8.192,512,1024,2
0.00049,8.5598,512,1024,4
0.000722,8.71393,512,1024,6
0.000956,8.77469,512,1024,8
0.001189,8.81897,512,1024,10
0.001426,8.82392,512,1024,12
0.001662,8.83277,512,1024,14
0.001897,8.84408,512,1024,16
0.002186,8.6342,512,1024,18
0.002363,8.87496,512,1024,20
0.003531,8.90889,512,1024,30
0.004701,8.92215,512,1024,40
0.005877,8.92101,512,1024,50
0.007046,8.92912,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
0.000218,9.61996,512,2048,1
0.000423,9.91561,512,2048,2
0.000835,10.0462,512,2048,4
0.001239,10.1557,512,2048,6
0.001643,10.2113,512,2048,8
0.002053,10.2151,512,2048,10
0.002457,10.2425,512,2048,12
0.002862,10.2586,512,2048,14
0.003266,10.2739,512,2048,16
0.003674,10.2746,512,2048,18
0.004088,10.26,512,2048,20
0.006115,10.2886,512,2048,30
0.008189,10.2438,512,2048,40
0.008797,11.9197,512,2048,50
0.010172,12.3701,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
