
IN64OUT16,IN64OUT16,,,,,BATCH
0.000779,24.229,64,64,16,16,1
0.001549,24.3697,64,64,16,16,2
0.003076,24.544,64,64,16,16,4
0.00468,24.1979,64,64,16,16,6
0.006232,24.229,64,64,16,16,8
0.007808,24.1731,64,64,16,16,10
0.009407,24.077,64,64,16,16,12
0.010976,24.0744,64,64,16,16,14
0.012493,24.1727,64,64,16,16,16
0.014057,24.1686,64,64,16,16,18
0.015595,24.2057,64,64,16,16,20
IN64OUT32,IN64OUT32,,,,,BATCH
0.003801,19.8625,64,64,32,32,1
0.007569,19.9491,64,64,32,32,2
0.015384,19.6301,64,64,32,32,4
0.02308,19.6267,64,64,32,32,6
0.0309,19.5463,64,64,32,32,8
0.038669,19.524,64,64,32,32,10
0.046221,19.6008,64,64,32,32,12
0.053953,19.5905,64,64,32,32,14
0.058124,20.7825,64,64,32,32,16
0.056008,24.2636,64,64,32,32,18
0.052206,28.9229,64,64,32,32,20
IN64OUT64,IN64OUT64,,,,,BATCH
0.007172,42.1068,64,64,64,64,1
0.014586,41.4082,64,64,64,64,2
0.029163,41.421,64,64,64,64,4
0.043893,41.2808,64,64,64,64,6
0.050738,47.6156,64,64,64,64,8
0.05338,56.5736,64,64,64,64,10
0.053177,68.1475,64,64,64,64,12
0.053805,78.5774,64,64,64,64,14
0.079215,60.9965,64,64,64,64,16
0.067673,80.3248,64,64,64,64,18
0.071877,84.0296,64,64,64,64,20
IN128OUT16,IN128OUT16,,,,,BATCH
0.002189,34.4895,128,128,16,16,1
0.004506,33.5098,128,128,16,16,2
0.009024,33.4652,128,128,16,16,4
0.018358,24.6751,128,128,16,16,6
0.024287,24.8684,128,128,16,16,8
0.030361,24.8666,128,128,16,16,10
0.036461,24.8476,128,128,16,16,12
0.042584,24.8207,128,128,16,16,14
0.046384,26.0426,128,128,16,16,16
0.049805,27.2855,128,128,16,16,18
0.051318,29.4234,128,128,16,16,20
IN128OUT32,IN128OUT32,,,,,BATCH
0.013684,22.0688,128,128,32,32,1
0.030282,19.9452,128,128,32,32,2
0.05506,21.939,128,128,32,32,4
0.053875,33.6323,128,128,32,32,6
0.059826,40.3824,128,128,32,32,8
0.074722,40.4151,128,128,32,32,10
0.09952,36.4136,128,128,32,32,12
0.104656,40.3977,128,128,32,32,14
0.119629,40.3902,128,128,32,32,16
0.162329,33.4864,128,128,32,32,18
0.149481,40.4051,128,128,32,32,20
IN128OUT64,IN128OUT64,,,,,BATCH
0.014192,85.1155,128,128,64,64,1
0.056866,42.4844,128,128,64,64,2
0.091801,52.6338,128,128,64,64,4
0.094216,76.927,128,128,64,64,6
0.112785,85.6823,128,128,64,64,8
0.141148,85.5811,128,128,64,64,10
