
IN64OUT16,IN64OUT16,,,,,BATCH
0.002412,7.82519,64,64,16,16,1
0.004817,7.83657,64,64,16,16,2
0.019891,3.79556,64,64,16,16,4
0.029979,3.77752,64,64,16,16,6
0.040465,3.73149,64,64,16,16,8
0.052408,3.60143,64,64,16,16,10
0.05813,3.89631,64,64,16,16,12
0.058078,4.54976,64,64,16,16,14
0.069573,4.34062,64,64,16,16,16
0.062048,5.47542,64,64,16,16,18
0.087973,4.29095,64,64,16,16,20
IN64OUT32,IN64OUT32,,,,,BATCH
0.010441,7.23087,64,64,32,32,1
0.020883,7.23052,64,64,32,32,2
0.077884,3.87743,64,64,32,32,4
0.088514,5.11766,64,64,32,32,6
0.086076,7.01682,64,64,32,32,8
0.109851,6.87272,64,64,32,32,10
0.160845,5.63256,64,64,32,32,12
0.163474,6.46564,64,64,32,32,14
0.191284,6.31501,64,64,32,32,16
0.22454,6.05217,64,64,32,32,18
0.257562,5.86247,64,64,32,32,20
IN64OUT64,IN64OUT64,,,,,BATCH
0.018516,16.3097,64,64,64,64,1
0.059741,10.11,64,64,64,64,2
0.095525,12.6455,64,64,64,64,4
0.125024,14.4927,64,64,64,64,6
0.230706,10.4719,64,64,64,64,8
0.255485,11.8203,64,64,64,64,10
0.337434,10.7395,64,64,64,64,12
0.442481,9.55489,64,64,64,64,14
0.572437,8.44082,64,64,64,64,16
1.00383,5.4151,64,64,64,64,18
1.23991,4.87115,64,64,64,64,20
IN128OUT16,IN128OUT16,,,,,BATCH
0.00957,7.88897,128,128,16,16,1
0.019394,7.78565,128,128,16,16,2
0.060553,4.9872,128,128,16,16,4
0.076912,5.88965,128,128,16,16,6
0.085433,7.06963,128,128,16,16,8
0.104864,7.19956,128,128,16,16,10
0.151632,5.97479,128,128,16,16,12
0.16093,6.56785,128,128,16,16,14
0.19692,6.13427,128,128,16,16,16
0.239741,5.66843,128,128,16,16,18
0.295867,5.10347,128,128,16,16,20
IN128OUT32,IN128OUT32,,,,,BATCH
0.041699,7.24214,128,128,32,32,1
0.133807,4.51381,128,128,32,32,2
0.183677,6.57654,128,128,32,32,4
0.255054,7.10414,128,128,32,32,6
0.342973,7.04405,128,128,32,32,8
0.436342,6.92094,128,128,32,32,10
0.530984,6.82484,128,128,32,32,12
0.64362,6.56887,128,128,32,32,14
0.750183,6.44088,128,128,32,32,16
0.882656,6.15848,128,128,32,32,18
1.03196,5.85276,128,128,32,32,20
IN128OUT64,IN128OUT64,,,,,BATCH
0.074286,16.2609,128,128,64,64,1
0.150697,16.0316,128,128,64,64,2
0.318644,15.1638,128,128,64,64,4
0.491395,14.7494,128,128,64,64,6
0.690372,13.9978,128,128,64,64,8
0.944406,12.7907,128,128,64,64,10
1.2744,11.3744,128,128,64,64,12
1.69177,9.99632,128,128,64,64,14
2.19165,8.81861,128,128,64,64,16
3.97538,5.46949,128,128,64,64,18
5.31616,4.54448,128,128,64,64,20
IN256OUT16,IN256OUT16,,,,,BATCH
0.038892,7.76483,256,256,16,16,1
0.077579,7.78535,256,256,16,16,2
0.186641,6.4721,256,256,16,16,4
0.237407,7.63221,256,256,16,16,6
0.322248,7.49708,256,256,16,16,8
0.419173,7.20442,256,256,16,16,10
0.527922,6.86442,256,256,16,16,12
0.636711,6.64015,256,256,16,16,14
0.770289,6.27276,256,256,16,16,16
0.939728,5.78446,256,256,16,16,18
1.1555,5.22699,256,256,16,16,20
IN256OUT32,IN256OUT32,,,,,BATCH
0.166658,7.24813,256,256,32,32,1
0.335989,7.19047,256,256,32,32,2
0.671738,7.19304,256,256,32,32,4
1.01965,7.10806,256,256,32,32,6
1.36863,7.06086,256,256,32,32,8
1.7415,6.93633,256,256,32,32,10
2.11234,6.86229,256,256,32,32,12
2.55336,6.62321,256,256,32,32,14
2.94067,6.57243,256,256,32,32,16
3.47874,6.25034,256,256,32,32,18
3.92389,6.15695,256,256,32,32,20
IN256OUT64,IN256OUT64,,,,,BATCH
0.304731,15.8561,256,256,64,64,1
0.619047,15.6106,256,256,64,64,2
1.33082,14.5229,256,256,64,64,4
2.17423,13.3339,256,256,64,64,6
3.07433,12.5734,256,256,64,64,8
3.79508,12.7318,256,256,64,64,10
