
IN256,OUT64,,,BATCH
5e-05,0.65536,256,64,1
6.3e-05,0.520127,256,64,2
6.1e-05,0.53718,256,64,4
7.3e-05,0.448877,256,64,6
7.7e-05,0.425558,256,64,8
8.9e-05,0.36818,256,64,10
9.2e-05,0.356174,256,64,12
9.7e-05,0.337814,256,64,14
0.000102,0.321255,256,64,16
0.000112,0.292571,256,64,18
0.00012,0.273067,256,64,20
0.000145,0.225986,256,64,30
0.00018,0.182044,256,64,40
0.000208,0.157538,256,64,50
0.000244,0.134295,256,64,60
IN256,OUT128,,,BATCH
5.1e-05,1.28502,256,128,1
5.4e-05,1.21363,256,128,2
6e-05,1.09227,256,128,4
6.6e-05,0.99297,256,128,6
7.8e-05,0.840205,256,128,8
8.7e-05,0.753287,256,128,10
0.0001,0.65536,256,128,12
0.00011,0.595782,256,128,14
0.000114,0.574877,256,128,16
0.00011,0.595782,256,128,18
0.00013,0.504123,256,128,20
0.000145,0.451972,256,128,30
0.000187,0.35046,256,128,40
0.000213,0.307681,256,128,50
0.000248,0.264258,256,128,60
IN256,OUT256,,,BATCH
4.9e-05,2.67494,256,256,1
5.4e-05,2.42726,256,256,2
5.8e-05,2.25986,256,256,4
7.5e-05,1.74763,256,256,6
8.1e-05,1.61817,256,256,8
8.3e-05,1.57918,256,256,10
9.1e-05,1.44035,256,256,12
9.9e-05,1.32396,256,256,14
0.000103,1.27254,256,256,16
0.000115,1.13976,256,256,18
0.000132,0.99297,256,256,20
0.000156,0.840205,256,256,30
0.000191,0.686241,256,256,40
0.000226,0.579965,256,256,50
0.000252,0.520127,256,256,60
IN256,OUT512,,,BATCH
4.7e-05,5.57753,256,512,1
5.6e-05,4.68114,256,512,2
7.3e-05,3.59101,256,512,4
0.000164,1.59844,256,512,6
8e-05,3.2768,256,512,8
0.000138,1.89959,256,512,10
9.9e-05,2.64792,256,512,12
0.000104,2.52062,256,512,14
0.000109,2.40499,256,512,16
0.000115,2.27951,256,512,18
0.000125,2.09715,256,512,20
0.000159,1.6487,256,512,30
0.000196,1.33747,256,512,40
0.000217,1.20804,256,512,50
0.000273,0.960234,256,512,60
IN256,OUT1024,,,BATCH
4.9e-05,10.6998,256,1024,1
5.9e-05,8.88624,256,1024,2
6.2e-05,8.45626,256,1024,4
7.3e-05,7.18203,256,1024,6
8.9e-05,5.89088,256,1024,8
9e-05,5.82542,256,1024,10
0.000102,5.14008,256,1024,12
0.000114,4.59902,256,1024,14
0.000116,4.51972,256,1024,16
0.000135,3.88361,256,1024,18
0.000134,3.9126,256,1024,20
0.000172,3.04819,256,1024,30
0.00021,2.49661,256,1024,40
0.000246,2.13125,256,1024,50
0.000284,1.84608,256,1024,60
IN256,OUT2048,,,BATCH
5e-05,20.9715,256,2048,1
5.6e-05,18.7246,256,2048,2
7.7e-05,13.6179,256,2048,4
8.3e-05,12.6334,256,2048,6
9.8e-05,10.6998,256,2048,8
0.000112,9.36229,256,2048,10
0.000122,8.59488,256,2048,12
0.00014,7.48983,256,2048,14
0.000151,6.94421,256,2048,16
0.000167,6.2789,256,2048,18
0.000175,5.99186,256,2048,20
0.000247,4.24525,256,2048,30
0.000307,3.41556,256,2048,40
0.00037,2.83399,256,2048,50
0.000509,2.06007,256,2048,60
IN256,OUT4096,,,BATCH
5.4e-05,38.8361,256,4096,1
7.2e-05,29.1271,256,4096,2
9.8e-05,21.3995,256,4096,4
0.000116,18.0789,256,4096,6
0.000154,13.6179,256,4096,8
0.000169,12.4092,256,4096,10
0.000202,10.3819,256,4096,12
0.000246,8.52501,256,4096,14
0.000306,6.85344,256,4096,16
0.000301,6.96728,256,4096,18
0.000375,5.59241,256,4096,20
0.000567,3.69868,256,4096,30
0.000837,2.50556,256,4096,40
0.001002,2.09297,256,4096,50
0.001215,1.72605,256,4096,60
IN512,OUT64,,,BATCH
6.1e-05,1.07436,512,64,1
6.6e-05,0.99297,512,64,2
7.4e-05,0.885622,512,64,4
8e-05,0.8192,512,64,6
8.5e-05,0.771012,512,64,8
0.000107,0.612486,512,64,10
0.000111,0.590414,512,64,12
0.000121,0.54162,512,64,14
0.000119,0.550723,512,64,16
0.000121,0.54162,512,64,18
0.000127,0.516032,512,64,20
0.000164,0.39961,512,64,30
0.000201,0.32605,512,64,40
0.00024,0.273067,512,64,50
0.000267,0.245453,512,64,60
IN512,OUT128,,,BATCH
6e-05,2.18453,512,128,1
6.4e-05,2.048,512,128,2
7.5e-05,1.74763,512,128,4
8.3e-05,1.57918,512,128,6
0.000108,1.21363,512,128,8
0.000221,0.593086,512,128,10
0.000119,1.10145,512,128,12
0.000125,1.04858,512,128,14
0.00012,1.09227,512,128,16
0.000161,0.814112,512,128,18
0.000139,0.942964,512,128,20
0.000172,0.762047,512,128,30
0.000209,0.627139,512,128,40
0.000281,0.466448,512,128,50
0.00027,0.485452,512,128,60
IN512,OUT256,,,BATCH
6.2e-05,4.22813,512,256,1
6.4e-05,4.096,512,256,2
8.4e-05,3.12076,512,256,4
9.5e-05,2.75941,512,256,6
9.3e-05,2.81875,512,256,8
0.000104,2.52062,512,256,10
0.00011,2.38313,512,256,12
0.000118,2.22156,512,256,14
0.000127,2.06413,512,256,16
0.000128,2.048,512,256,18
0.000139,1.88593,512,256,20
0.000169,1.55115,512,256,30
0.000203,1.29135,512,256,40
0.000237,1.10609,512,256,50
0.00027,0.970904,512,256,60
IN512,OUT512,,,BATCH
6.3e-05,8.32203,512,512,1
6.4e-05,8.192,512,512,2
7.1e-05,7.38434,512,512,4
9.2e-05,5.69878,512,512,6
9.8e-05,5.34988,512,512,8
0.000157,3.33941,512,512,10
0.000117,4.48109,512,512,12
0.000126,4.16102,512,512,14
0.000213,2.46145,512,512,16
0.000135,3.88361,512,512,18
0.000143,3.66635,512,512,20
0.000182,2.8807,512,512,30
0.000222,2.36166,512,512,40
0.000259,2.02428,512,512,50
0.000303,1.73032,512,512,60
IN512,OUT1024,,,BATCH
0.000107,9.79978,512,1024,1
6.6e-05,15.8875,512,1024,2
8.6e-05,12.1927,512,1024,4
9.6e-05,10.9227,512,1024,6
0.000113,9.27943,512,1024,8
0.000123,8.52501,512,1024,10
0.000141,7.43671,512,1024,12
0.00016,6.5536,512,1024,14
0.000167,6.2789,512,1024,16
0.000184,5.69878,512,1024,18
0.000192,5.46133,512,1024,20
0.000249,4.21115,512,1024,30
0.000325,3.22639,512,1024,40
0.000401,2.6149,512,1024,50
0.000445,2.35635,512,1024,60
IN512,OUT2048,,,BATCH
6.2e-05,33.825,512,2048,1
7.9e-05,26.5462,512,2048,2
0.000106,19.7845,512,2048,4
0.000123,17.05,512,2048,6
0.00015,13.981,512,2048,8
0.000171,12.264,512,2048,10
0.000198,10.5917,512,2048,12
0.000226,9.27943,512,2048,14
0.000248,8.45626,512,2048,16
0.00027,7.76723,512,2048,18
0.000299,7.01389,512,2048,20
0.000453,4.62947,512,2048,30
0.000714,2.93719,512,2048,40
0.001004,2.0888,512,2048,50
0.001237,1.69535,512,2048,60
IN512,OUT4096,,,BATCH
0.000102,41.1206,512,4096,1
0.000102,41.1206,512,4096,2
0.000148,28.3399,512,4096,4
0.000192,21.8453,512,4096,6
0.00024,17.4763,512,4096,8
0.000283,14.8209,512,4096,10
0.000349,12.0181,512,4096,12
0.000451,9.30001,512,4096,14
0.000549,7.6399,512,4096,16
0.000633,6.62607,512,4096,18
0.000844,4.96955,512,4096,20
