
IN64OUT16,IN64OUT16,,,,,BATCH
0.000891,21.1834,64,64,16,16,1
0.000904,41.7575,64,64,16,16,2
0.000963,78.3982,64,64,16,16,4
0.001171,96.709,64,64,16,16,6
0.001636,92.2952,64,64,16,16,8
0.002226,84.7905,64,64,16,16,10
0.003217,70.4049,64,64,16,16,12
0.00423,62.4684,64,64,16,16,14
0.005519,54.7182,64,64,16,16,16
0.007379,46.0413,64,64,16,16,18
0.009544,39.5523,64,64,16,16,20

IN64OUT32,IN64OUT32,,,,,BATCH
0.002684,28.1287,64,64,32,32,1
0.002721,55.4924,64,64,32,32,2
0.006809,44.3516,64,64,32,32,4
0.013608,33.2881,64,64,32,32,6
0.013939,43.3302,64,64,32,32,8
0.014922,50.5947,64,64,32,32,10
0.015715,57.65,64,64,32,32,12
0.023021,45.9131,64,64,32,32,14
0.028812,41.9256,64,64,32,32,16
0.033331,40.7715,64,64,32,32,18
0.04042,37.3565,64,64,32,32,20

IN64OUT64,IN64OUT64,,,,,BATCH
0.003499,86.3075,64,64,64,64,1
0.009957,60.6588,64,64,64,64,2
0.010664,113.275,64,64,64,64,4
0.014955,121.159,64,64,64,64,6
0.02507,96.3669,64,64,64,64,8
0.05431,55.6048,64,64,64,64,10
0.054823,66.1014,64,64,64,64,12
0.068949,61.3186,64,64,64,64,14
0.088896,54.3538,64,64,64,64,16
0.106528,51.0271,64,64,64,64,18
0.133462,45.2548,64,64,64,64,20

IN128OUT16,IN128OUT16,,,,,BATCH
0.003369,22.4095,128,128,16,16,1
0.003366,44.8589,128,128,16,16,2
0.003719,81.2019,128,128,16,16,4
0.004958,91.3644,128,128,16,16,6
0.006352,95.085,128,128,16,16,8
0.008747,86.3124,128,128,16,16,10
0.01273,71.1681,128,128,16,16,12
0.016738,63.1476,128,128,16,16,14
0.021735,55.5767,128,128,16,16,16
0.029281,46.4108,128,128,16,16,18
0.035642,42.3643,128,128,16,16,20

IN128OUT32,IN128OUT32,,,,,BATCH
0.010824,27.9,128,128,32,32,1
0.011096,54.4322,128,128,32,32,2
0.026616,45.3847,128,128,32,32,4
0.054273,33.3857,128,128,32,32,6
0.055521,43.5136,128,128,32,32,8
0.059907,50.4098,128,128,32,32,10
0.06466,56.0451,128,128,32,32,12
0.093611,45.1641,128,128,32,32,14
0.111149,43.4717,128,128,32,32,16
0.136654,39.778,128,128,32,32,18
0.153246,39.4124,128,128,32,32,20

IN128OUT64,IN128OUT64,,,,,BATCH
0.014527,83.1527,128,128,64,64,1
0.039693,60.8651,128,128,64,64,2
0.042473,113.763,128,128,64,64,4
0.061667,117.531,128,128,64,64,6
0.09997,96.6658,128,128,64,64,8
0.202306,59.7095,128,128,64,64,10
0.20483,70.7685,128,128,64,64,12
0.278222,60.784,128,128,64,64,14
0.327712,58.9766,128,128,64,64,16
0.398407,54.5755,128,128,64,64,18
0.479754,50.3575,128,128,64,64,20

IN256OUT16,IN256OUT16,,,,,BATCH
0.014426,20.9337,256,256,16,16,1
0.014484,41.6998,256,256,16,16,2
0.018365,65.7751,256,256,16,16,4
0.020335,89.1045,256,256,16,16,6
0.025168,95.9917,256,256,16,16,8
0.034748,86.9086,256,256,16,16,10
0.052481,69.0512,256,256,16,16,12
0.071521,59.1135,256,256,16,16,14
0.086632,55.7743,256,256,16,16,16
0.111645,48.6884,256,256,16,16,18
0.142169,42.4832,256,256,16,16,20

IN256OUT32,IN256OUT32,,,,,BATCH
0.051772,23.3323,256,256,32,32,1
0.051279,47.1132,256,256,32,32,2
0.103977,46.4703,256,256,32,32,4
0.223576,32.4174,256,256,32,32,6
0.232147,41.6274,256,256,32,32,8
0.251924,47.9494,256,256,32,32,10
0.280474,51.6822,256,256,32,32,12
0.383455,44.1028,256,256,32,32,14
0.462808,41.7611,256,256,32,32,16
0.533846,40.7295,256,256,32,32,18
0.611503,39.5079,256,256,32,32,20

IN256OUT64,IN256OUT64,,,,,BATCH
0.058677,82.3464,256,256,64,64,1
0.164299,58.8176,256,256,64,64,2
0.183537,105.305,256,256,64,64,4
0.252732,114.711,256,256,64,64,6
0.383039,100.916,256,256,64,64,8
0.80895,59.7298,256,256,64,64,10
0.80467,72.0569,256,256,64,64,12
1.0689,63.2851,256,256,64,64,14
1.32565,58.3181,256,256,64,64,16
1.61382,53.8926,256,256,64,64,18
1.91179,50.5477,256,256,64,64,20

IN512OUT16,IN512OUT16,,,,,BATCH
0.071338,16.9329,512,512,16,16,1
0.069727,34.6483,512,512,16,16,2
0.079325,60.9119,512,512,16,16,4
0.08994,80.5844,512,512,16,16,6
0.103151,93.6848,512,512,16,16,8
0.138722,87.0777,512,512,16,16,10
0.22335,64.9004,512,512,16,16,12
0.289737,58.3682,512,512,16,16,14
0.342001,56.5126,512,512,16,16,16
0.451809,48.1249,512,512,16,16,18
0.579431,41.6947,512,512,16,16,20

IN512OUT32,IN512OUT32,,,,,BATCH
0.207083,23.3329,512,512,32,32,1
0.20227,47.7761,512,512,32,32,2
0.425494,45.4233,512,512,32,32,4
0.854989,33.9081,512,512,32,32,6
0.910815,42.4397,512,512,32,32,8
0.9711,49.7563,512,512,32,32,10
1.15832,50.0571,512,512,32,32,12
1.82709,37.0238,512,512,32,32,14
1.89628,40.7689,512,512,32,32,16
2.13308,40.7735,512,512,32,32,18
2.45375,39.3834,512,512,32,32,20

IN512OUT64,IN512OUT64,,,,,BATCH
0.220992,87.4573,512,512,64,64,1
0.635912,60.7863,512,512,64,64,2
0.731738,105.652,512,512,64,64,4
0.992846,116.8,512,512,64,64,6
1.46436,105.588,512,512,64,64,8
3.25003,59.4682,512,512,64,64,10
3.20653,72.3299,512,512,64,64,12
4.28817,63.0999,512,512,64,64,14
5.36206,57.6714,512,512,64,64,16
6.55719,53.0551,512,512,64,64,18
7.72603,50.0318,512,512,64,64,20

