
IN256OUT64,IN256OUT64,,,BATCH
4.7e-05,0.697191,256,64,1
6.9e-05,0.474899,256,64,2
0.000108,0.303407,256,64,4
0.00017,0.192753,256,64,6
0.000186,0.176172,256,64,8
0.000236,0.138847,256,64,10
0.00026,0.126031,256,64,12
0.000305,0.107436,256,64,14
0.000334,0.0981078,256,64,16
0.000383,0.0855561,256,64,18
0.000417,0.0785803,256,64,20
0.000602,0.0544319,256,64,30
0.000789,0.0415311,256,64,40
0.000969,0.0338163,256,64,50
0.001157,0.0283215,256,64,60
IN256OUT128,IN256OUT128,,,BATCH
4.9e-05,1.33747,256,128,1
6.9e-05,0.949797,256,128,2
0.000107,0.612486,256,128,4
0.000154,0.425558,256,128,6
0.00019,0.344926,256,128,8
0.000223,0.293883,256,128,10
0.000267,0.245453,256,128,12
0.0003,0.218453,256,128,14
0.000344,0.190512,256,128,16
0.000382,0.17156,256,128,18
0.000418,0.156785,256,128,20
0.000607,0.107967,256,128,30
0.000871,0.0752423,256,128,40
0.001121,0.0584621,256,128,50
0.001345,0.0487256,256,128,60
IN256OUT256,IN256OUT256,,,BATCH
5e-05,2.62144,256,256,1
6.9e-05,1.89959,256,256,2
0.000105,1.2483,256,256,4
0.000149,0.879678,256,256,6
0.000185,0.708497,256,256,8
0.000225,0.582542,256,256,10
0.000261,0.502192,256,256,12
0.000305,0.429744,256,256,14
0.000343,0.382134,256,256,16
0.000405,0.323635,256,256,18
0.00045,0.291271,256,256,20
0.000718,0.182552,256,256,30
0.000979,0.133884,256,256,40
0.001158,0.113188,256,256,50
0.001403,0.0934227,256,256,60
IN256OUT512,IN256OUT512,,,BATCH
5.1e-05,5.14008,256,512,1
6.9e-05,3.79919,256,512,2
0.00011,2.38313,256,512,4
0.000149,1.75936,256,512,6
0.000192,1.36533,256,512,8
0.000242,1.08324,256,512,10
0.000301,0.87091,256,512,12
0.000348,0.753287,256,512,14
0.000396,0.66198,256,512,16
0.000445,0.589088,256,512,18
0.000494,0.530656,256,512,20
0.000756,0.346751,256,512,30
0.000954,0.274784,256,512,40
0.001178,0.222533,256,512,50
0.001404,0.186712,256,512,60
IN256OUT1024,IN256OUT1024,,,BATCH
5.1e-05,10.2802,256,1024,1
6.8e-05,7.71012,256,1024,2
0.00011,4.76625,256,1024,4
0.000178,2.94544,256,1024,6
0.000217,2.41607,256,1024,8
0.000267,1.96363,256,1024,10
0.000305,1.71898,256,1024,12
0.000358,1.46449,256,1024,14
0.000412,1.27254,256,1024,16
0.000448,1.17029,256,1024,18
0.000491,1.0678,256,1024,20
0.000989,0.530119,256,1024,30
0.000981,0.534442,256,1024,40
0.001188,0.44132,256,1024,50
0.001413,0.371046,256,1024,60
IN256OUT2048,IN256OUT2048,,,BATCH
4.8e-05,21.8453,256,2048,1
7.1e-05,14.7687,256,2048,2
0.00012,8.73813,256,2048,4
0.000174,6.0263,256,2048,6
0.000211,4.96955,256,2048,8
0.000272,3.85506,256,2048,10
0.000318,3.29741,256,2048,12
0.000369,2.84167,256,2048,14
0.000424,2.47306,256,2048,16
0.00046,2.27951,256,2048,18
0.000516,2.03212,256,2048,20
0.000739,1.41891,256,2048,30
0.000974,1.07657,256,2048,40
0.001209,0.867308,256,2048,50
0.001518,0.690762,256,2048,60
IN256OUT4096,IN256OUT4096,,,BATCH
5.1e-05,41.1206,256,4096,1
8.1e-05,25.8908,256,4096,2
0.000154,13.6179,256,4096,4
0.000199,10.5385,256,4096,6
0.000253,8.28914,256,4096,8
0.00044,4.76625,256,4096,10
0.000374,5.60736,256,4096,12
0.000422,4.96955,256,4096,14
0.000494,4.24525,256,4096,16
0.000534,3.92725,256,4096,18
0.000609,3.4436,256,4096,20
0.000875,2.39675,256,4096,30
0.001155,1.81572,256,4096,40
0.001427,1.46962,256,4096,50
0.001686,1.24386,256,4096,60
IN512OUT64,IN512OUT64,,,BATCH
5.9e-05,1.11078,512,64,1
0.000121,0.54162,512,64,2
0.000157,0.417427,512,64,4
0.000216,0.303407,512,64,6
0.000285,0.229951,512,64,8
0.000347,0.188865,512,64,10
0.000421,0.155667,512,64,12
0.000463,0.141546,512,64,14
0.00052,0.126031,512,64,16
0.000582,0.112605,512,64,18
0.000643,0.101922,512,64,20
0.000946,0.069277,512,64,30
0.001349,0.0485812,512,64,40
0.001811,0.0361877,512,64,50
0.002192,0.0298978,512,64,60
IN512OUT128,IN512OUT128,,,BATCH
6.5e-05,2.01649,512,128,1
9.8e-05,1.33747,512,128,2
0.000178,0.73636,512,128,4
0.000217,0.604018,512,128,6
0.000275,0.476625,512,128,8
0.000349,0.375564,512,128,10
0.000405,0.323635,512,128,12
0.000492,0.266407,512,128,14
0.000523,0.250616,512,128,16
0.000609,0.215225,512,128,18
0.000686,0.191067,512,128,20
0.001106,0.11851,512,128,30
0.001492,0.0878499,512,128,40
0.001856,0.0706207,512,128,50
0.00221,0.0593086,512,128,60
IN512OUT256,IN512OUT256,,,BATCH
6.7e-05,3.9126,512,256,1
9.1e-05,2.8807,512,256,2
0.00016,1.6384,512,256,4
0.000215,1.21927,512,256,6
0.000288,0.910222,512,256,8
0.000392,0.668735,512,256,10
0.000456,0.574877,512,256,12
0.00053,0.494611,512,256,14
0.000598,0.438368,512,256,16
0.000693,0.378274,512,256,18
0.000765,0.342672,512,256,20
0.001142,0.229548,512,256,30
0.001508,0.173836,512,256,40
0.00188,0.139438,512,256,50
0.002323,0.112847,512,256,60
IN512OUT512,IN512OUT512,,,BATCH
6.9e-05,7.59838,512,512,1
0.000106,4.94611,512,512,2
0.000152,3.44926,512,512,4
0.000244,2.14872,512,512,6
0.000325,1.61319,512,512,8
0.000406,1.29135,512,512,10
0.00048,1.09227,512,512,12
0.000566,0.926304,512,512,14
0.000629,0.833526,512,512,16
0.000697,0.752207,512,512,18
0.000774,0.677375,512,512,20
0.001145,0.457893,512,512,30
0.00171,0.306601,512,512,40
0.001906,0.275072,512,512,50
0.002264,0.231576,512,512,60
IN512OUT1024,IN512OUT1024,,,BATCH
5.8e-05,18.0789,512,1024,1
9.6e-05,10.9227,512,1024,2
