
IN64OUT16,IN64OUT16,,,,,BATCH
0.00091,20.7411,64,64,16,16,1
0.001779,21.2191,64,64,16,16,2
0.003512,21.497,64,64,16,16,4
0.005259,21.5338,64,64,16,16,6
0.007005,21.5553,64,64,16,16,8
0.008871,21.2765,64,64,16,16,10
0.011018,20.5566,64,64,16,16,12
0.012929,20.4379,64,64,16,16,14
0.015028,20.0951,64,64,16,16,16
0.016912,20.0886,64,64,16,16,18
0.018908,19.9644,64,64,16,16,20

IN64OUT32,IN64OUT32,,,,,BATCH
0.002679,28.1812,64,64,32,32,1
0.005333,28.3133,64,64,32,32,2
0.010635,28.3959,64,64,32,32,4
0.01732,26.1539,64,64,32,32,6
0.023346,25.8708,64,64,32,32,8
0.028404,26.5799,64,64,32,32,10
0.038051,23.8094,64,64,32,32,12
0.044831,23.5766,64,64,32,32,14
0.053317,22.6562,64,64,32,32,16
0.060287,22.5414,64,64,32,32,18
0.060324,25.0307,64,64,32,32,20

IN64OUT64,IN64OUT64,,,,,BATCH
0.003336,90.5245,64,64,64,64,1
0.006709,90.0253,64,64,64,64,2
0.039468,30.606,64,64,64,64,4
0.059564,30.42,64,64,64,64,6
0.078503,30.7749,64,64,64,64,8
0.099927,30.2211,64,64,64,64,10
0.11875,30.5169,64,64,64,64,12
0.142979,29.5698,64,64,64,64,14
0.157341,30.7093,64,64,64,64,16
0.176212,30.8482,64,64,64,64,18
0.19558,30.8815,64,64,64,64,20

IN128OUT16,IN128OUT16,,,,,BATCH
0.003369,22.4095,128,128,16,16,1
0.006705,22.5198,128,128,16,16,2
0.01402,21.5399,128,128,16,16,4
0.02178,20.7982,128,128,16,16,6
0.028542,21.1611,128,128,16,16,8
0.035814,21.0804,128,128,16,16,10
0.043977,20.601,128,128,16,16,12
0.050998,20.7256,128,128,16,16,14
0.058724,20.5701,128,128,16,16,16
0.065588,20.7196,128,128,16,16,18
0.073079,20.6619,128,128,16,16,20

IN128OUT32,IN128OUT32,,,,,BATCH
0.010627,28.4172,128,128,32,32,1
0.021786,27.7233,128,128,32,32,2
0.044367,27.2265,128,128,32,32,4
0.075907,23.8705,128,128,32,32,6
0.100108,24.1331,128,128,32,32,8
0.11017,27.4113,128,128,32,32,10
0.149982,24.1621,128,128,32,32,12
0.173723,24.3368,128,128,32,32,14
0.200164,24.1394,128,128,32,32,16
0.222527,24.4277,128,128,32,32,18
0.259939,23.2354,128,128,32,32,20

IN128OUT64,IN128OUT64,,,,,BATCH
